"change_date","change","title","name","vintage","type","temporal","spatial","url","modified","description","contact"
"2025-07-31 10:40","Added","Economic Census: Wholesale Trade: Gross Margin, Gross Profit, and their Components for Merchant Wholesalers U.S.: 2022","ecngrmargprof",2022,"Aggregate","2022/2022","United States","http://api.census.gov/data/2022/ecngrmargprof","2025-03-19 18:48:23.0","This dataset presents statistics for Wholesale Trade: Gross Margin, Gross Profit, and their Components for Merchant Wholesalers for the U.S.","ewd.outreach@census.gov"
"2025-07-31 10:40","Added","Economic Census: Wholesale Trade: Inventories by Valuation Method for the U.S.: 2022","ecneoyinv",2022,"Aggregate","2022/2022","United States","http://api.census.gov/data/2022/ecneoyinv","2025-03-19 18:48:27.0","This dataset presents statistics for Wholesale Trade: Inventories by Valuation Method for the U.S.","ewd.outreach@census.gov"
"2025-07-31 10:40","Added","2020 Geography Information","geoinfo",2020,"Aggregate","2020/2020","US","http://api.census.gov/data/2020/geoinfo","2025-06-17 08:43:55.0","This dataset will provide users with all geography levels for a given year as well as longitude/latitude and area (land and water) geographic information if available.","Census.data@census.gov"
"2025-07-31 10:40","Added","Annual Integrated Economic Survey: All Sectors: Summary Statistics for Employer Firms in the U.S. and Selected Geographies","timeseries/aies/basic",,"Timeseries","2023/2023","United States","http://api.census.gov/data/timeseries/aies/basic","2025-04-11 13:20:27.0","The Annual Integrated Economic Survey (AIES) consolidates seven existing annual business surveys into one, replacing the Annual Capital Expenditures Survey, Annual Retail Trade Survey, Annual Survey of Manufacturers, Annual Wholesale Trade Survey, Manufacturer's Unfilled Orders Survey, Report of Organization, and Services Annual Survey. AIES will provide comprehensive national and subnational data on business revenues, expenses, and assets, using the North American Industry Classification System (NAICS). Key statistics include capital expenditures, employment, expenses, inventories, payroll, and sales or revenue.","ewd.outreach@census.gov"
"2025-08-07 09:51","Added","Current Population Survey: Basic Monthly","cps/basic/jul",2025,"Microdata","2025-07/2025-07","United States","http://api.census.gov/data/2025/cps/basic/jul","2025-01-21 11:17:15.0","To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, health insurance, and migration data from the Annual Social and Economic Supplement (ASEC), and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.","dsd.cps@census.gov"
"2025-09-11 07:38","Added","Current Population Survey: Basic Monthly","cps/basic/aug",2025,"Microdata","2025-08/2025-08","United States","http://api.census.gov/data/2025/cps/basic/aug","2025-01-21 11:17:15.0","To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, health insurance, and migration data from the Annual Social and Economic Supplement (ASEC), and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.","dsd.cps@census.gov"
"2025-09-11 07:38","Added","Current Population Survey Annual Social and Economic Supplement","cps/asec/mar",2025,"Microdata","2025-03/2025-03","US","http://api.census.gov/data/2025/cps/asec/mar","2025-06-18 14:08:23.0","The Annual Social and Economic Supplement or March CPS supplement is the primary source of detailed information on income and work experience in the United States. Numerous publications based on this survey are issued each year by the Bureaus of Labor Statistics and Census. A public-use microdata file is available for private researchers, who also produce many academic and policy-related documents based on these data. The Annual Social and Economic Supplement is used to generate the annual Population Profile of the United States, reports on geographical mobility and educational attainment, and detailed analysis of money income and poverty status. The labor force and work experience data from this survey are used to profile the U.S. labor market and to make employment projections. To allow for the same type of in-depth analysis of hispanics, additional hispanic sample units are added to the basic CPS sample in March each year. Additional weighting is also performed so that estimates can be made for households and families, in addition to persons.","dsd.cps@census.gov"
"2025-09-11 07:38","Added","ACS 1-Year Subject Tables","acs/acs1/subject",2024,"Aggregate","2024/2024","US","http://api.census.gov/data/2024/acs/acs1/subject","2025-02-27 18:54:44.0","The American Community Survey (ACS) is a US-wide survey designed to provide communities a fresh look at how they are changing. The ACS replaced the decennial census long form in 2010 and thereafter by collecting long form type information throughout the decade rather than only once every 10 years. Questionnaires are mailed to a sample of addresses to obtain information about households -- that is, about each person and the housing unit itself. The American Community Survey produces demographic, social, housing and economic estimates in the form of 1 and 5-year estimates based on population thresholds. The strength of the ACS is in estimating population and housing characteristics. The data profiles provide key estimates for each of the topic areas covered by the ACS for the us, all 50 states, the District of Columbia, Puerto Rico, every congressional district, every metropolitan area, and all counties and places with populations of 65,000 or more. Although the ACS produces population, demographic and housing unit estimates, it is the Census Bureau's Population Estimates Program that produces and disseminates the official estimates of the population for the us, states, counties, cities and towns, and estimates of housing units for states and counties. For 2010 and other decennial census years, the Decennial Census provides the official counts of population and housing units.","acso.users.support@census.gov"
"2025-09-11 07:38","Added","ACS 1-Year Selected Population Profiles","acs/acs1/spp",2024,"Aggregate","2024/2024","US","http://api.census.gov/data/2024/acs/acs1/spp","2025-02-27 18:54:48.0","Selected Population Profiles provide broad social, economic, and housing profiles for a large number of race, ethnic, ancestry, and country/region of birth groups. The data are presented as population counts for the total population and various subgroups and percentages.","acso.users.support@census.gov"
"2025-09-11 07:38","Added","ACS 1-Year Data Profiles","acs/acs1/profile",2024,"Aggregate","2024/2024","US","http://api.census.gov/data/2024/acs/acs1/profile","2025-02-27 18:54:41.0","The American Community Survey (ACS) is a US-wide survey designed to provide communities a fresh look at how they are changing. The ACS replaced the decennial census long form in 2010 and thereafter by collecting long form type information throughout the decade rather than only once every 10 years. Questionnaires are mailed to a sample of addresses to obtain information about households -- that is, about each person and the housing unit itself. The American Community Survey produces demographic, social, housing and economic estimates in the form of 1 and 5-year estimates based on population thresholds. The strength of the ACS is in estimating population and housing characteristics. The data profiles provide key estimates for each of the topic areas covered by the ACS for the us, all 50 states, the District of Columbia, Puerto Rico, every congressional district, every metropolitan area, and all counties and places with populations of 65,000 or more. Although the ACS produces population, demographic and housing unit estimates, it is the Census Bureau's Population Estimates Program that produces and disseminates the official estimates of the population for the US, states, counties, cities and towns, and estimates of housing units for states and counties. For 2010 and other decennial census years, the Decennial Census provides the official counts of population and housing units.","acso.users.support@census.gov"
